id,artist_lastfm,listeners_lastfm,scrobbles_lastfm
0,Coldplay,,
1,Radiohead,,
2,Red Hot Chili Peppers,,
3,Rihanna,,
4,Eminem,,
5,The Killers,,
6,Kanye West,,
7,Nirvana,,
8,Muse,,
9,Queen,,
10,Foo Fighters,,
11,Linkin Park,,
12,Lady Gaga,,
13,The Rolling Stones,,
14,Daft Punk,,
15,Green Day,,
16,Katy Perry,,
17,The Beatles,,
18,Oasis,,
19,Gorillaz,,
20,Beyoncé,,
21,Michael Jackson,,
22,Maroon 5,,
23,Arctic Monkeys,,
24,System of a Down,,
25,U2,,
26,Kings of Leon,,
27,Drake,,
28,David Bowie,,
29,Black Eyed Peas,,
30,The Strokes,,
31,Britney Spears,,
32,Guns N' Roses,,
33,Franz Ferdinand,,
34,The Doors,,
35,Jay-Z,,
36,Madonna,,
37,Pink Floyd,,
38,Weezer,,
39,Snow Patrol,,
40,blink-182,,
41,The White Stripes,,
42,The Cure,,
43,Led Zeppelin,,
44,Beck,,
45,Aerosmith,,
46,The Offspring,,
47,Metallica,,
48,R.E.M.,,
49,Blur,,
50,Adele,,
51,Rage Against the Machine,,
52,Death Cab for Cutie,,
53,Nickelback,,
54,Justin Timberlake,,
55,The Smashing Pumpkins,,
56,MGMT,,
57,Johnny Cash,,
58,Christina Aguilera,,
59,David Guetta,,
60,The Who,,
61,Jimi Hendrix,,
62,Fall Out Boy,,
63,Pearl Jam,,
64,AC/DC,,
65,Depeche Mode,,
66,Moby,,
67,Bob Dylan,,
68,Usher,,
69,50 Cent,,
70,The Kooks,,
71,Placebo,,
72,Avril Lavigne,,
73,Chris Brown,,
78,Incubus,,
79,Massive Attack,,
80,Arcade Fire,,
81,Korn,,
82,Jack Johnson,,
83,3 Doors Down,,
84,Amy Winehouse,,
85,Bloc Party,,
86,OutKast,,
87,Elton John,,
88,Yeah Yeah Yeahs,,
89,P!nk,,
90,Snoop Dogg,,
91,Kid Cudi,,
92,Ke$ha,,
93,Paramore,,
94,Queens of the Stone Age,,
95,Papa Roach,,
96,Mariah Carey,,
97,John Mayer,,
98,Black Sabbath,,
99,Kasabian,,
100,The Beach Boys,,
101,Kelly Clarkson,,
102,T.I.,,
103,Keane,,
104,Eric Clapton,,
105,Florence + the Machine,,
106,Modest Mouse,,
107,Elvis Presley,,
108,Disturbed,,
109,Simon & Garfunkel,,
110,Evanescence,,
111,My Chemical Romance,,
112,Creedence Clearwater Revival,,
113,30 Seconds to Mars,,
114,Frank Sinatra,,
115,Bon Jovi,,
116,Slipknot,,
117,Shakira,,
118,The Shins,,
119,The Clash,,
120,Dr. Dre,,
121,Alicia Keys,,
122,Pixies,,
123,Limp Bizkit,,
124,The Smiths,,
125,OneRepublic,,
126,The Cranberries,,
127,The Police,,
128,Kaiser Chiefs,,
129,Jason Mraz,,
130,Interpol,,
131,Beastie Boys,,
132,Nelly Furtado,,
133,Three Days Grace,,
134,The Chemical Brothers,,
135,Sum 41,,
136,Marilyn Manson,,
137,The Prodigy,,
138,The Fray,,
139,Audioslave,,
140,Taylor Swift,,
141,Panic! at the Disco,,
142,Calvin Harris,,
143,Wiz Khalifa,,
144,Björk,,
145,2Pac,,
146,Vampire Weekend,,
147,Nine Inch Nails,,
148,John Lennon,,
149,Lily Allen,,
150,Bruce Springsteen,,
151,The Black Keys,,
152,Gwen Stefani,,
153,Air,,
154,Fleetwood Mac,,
155,Stevie Wonder,,
156,Dire Straits,,
157,Flo Rida,,
158,Sia,,
159,Deep Purple,,
160,Iron Maiden,,
161,The Kinks,,
162,Jennifer Lopez,,
163,Portishead,,
164,Jimmy Eat World,,
165,Goo Goo Dolls,,
166,Iron & Wine,,
167,Eagles,,
168,The Notorious B.I.G.,,
169,Norah Jones,,
170,The Verve,,
171,Nicki Minaj,,
172,Sigur Rós,,
173,The Pussycat Dolls,,
174,James Blunt,,
175,Rise Against,,
176,Phoenix,,
190,Miley Cyrus,,
191,The Game,,
192,Lupe Fiasco,,
193,No Doubt,,
194,Bob Marley,,
195,Akon,,
196,Röyksopp,,
197,Pitbull,,
198,Breaking Benjamin,,
199,The All-American Rejects,,
200,Bon Iver,,
201,The Velvet Underground,,
202,Joy Division,,
203,Feist,,
206,Counting Crows,,
207,Kylie Minogue,,
208,Sufjan Stevens,,
209,Nas,,
210,Alice in Chains,,
211,Ludacris,,
212,Fatboy Slim,,
213,Ellie Goulding,,
214,The xx,,
215,Lynyrd Skynyrd,,
216,Bob Marley & The Wailers,,
217,Marvin Gaye,,
218,Dido,,
219,Nelly,,
220,M83,,
221,Timbaland,,
222,Soundgarden,,
223,Lana Del Rey,,
224,Jason Derülo,,
225,Robbie Williams,,
226,Alanis Morissette,,
227,Bruno Mars,,
228,Cream,,
229,Bright Eyes,,
230,Ludwig van Beethoven,,
231,Regina Spektor,,
232,The Postal Service,,
233,Train,,
234,Phil Collins,,
235,M.I.A.,,
236,Ramones,,
237,Fergie,,
238,Michael Bublé,,
239,New Order,,
240,Rammstein,,
241,Mumford & Sons,,
242,Destiny's Child,,
243,Lenny Kravitz,,
244,Good Charlotte,,
245,Nina Simone,,
246,Bullet for My Valentine,,
247,Sting,,
248,Van Halen,,
249,Hoobastank,,
250,Ozzy Osbourne,,
251,Billy Joel,,
252,Bryan Adams,,
253,Damien Rice,,
254,Neil Young,,
255,Jet,,
258,Aretha Franklin,,
259,John Legend,,
260,Foster the People,,
261,Sublime,,
262,Deftones,,
263,Band of Horses,,
264,The Flaming Lips,,
265,The National,,
266,Louis Armstrong,,
267,Prince,,
268,Rick Ross,,
269,Tenacious D,,
270,Avenged Sevenfold,,
271,Two Door Cinema Club,,
272,Blondie,,
273,Journey,,
274,Justice,,
275,Goldfrapp,,
276,Belle and Sebastian,,
277,Travis,,
278,Ciara,,
279,Ray Charles,,
280,The Cardigans,,
281,The Script,,
282,Passion Pit,,
283,Leona Lewis,,
284,Elliott Smith,,
285,Simple Plan,,
286,Paul McCartney,,
287,Imagine Dragons,,
288,Editors,,
289,ABBA,,
290,Van Morrison,,
291,Scorpions,,
292,Mika,,
293,Cat Power,,
294,Tiësto,,
295,Jamiroquai,,
296,José González,,
297,Cake,,
298,Justin Bieber,,
299,Ella Fitzgerald,,
300,Fleet Foxes,,
301,Ed Sheeran,,
302,LCD Soundsystem,,
303,Kiss,,
304,Sonic Youth,,
305,Talking Heads,,
306,Stereophonics,,
307,Seether,,
308,Gnarls Barkley,,
309,Whitney Houston,,
310,Jeff Buckley,,
311,a-ha,,
312,Duran Duran,,
313,A Perfect Circle,,
314,The Jimi Hendrix Experience,,
315,James Brown,,
316,Garbage,,
317,Wolfgang Amadeus Mozart,,
318,Lifehouse,,
319,Lykke Li,,
320,Santana,,
321,J. Cole,,
322,Tool,,
323,Tyga,,
324,Young Jeezy,,
325,B.o.B,,
326,Pantera,,
327,Bloodhound Gang,,
328,Jefferson Airplane,,
329,Avicii,,
330,Enrique Iglesias,,
331,Stone Temple Pilots,,
332,Motörhead,,
333,The Fratellis,,
334,Spoon,,
335,deadmau5,,
336,Stone Sour,,
337,Johann Sebastian Bach,,
338,Lou Reed,,
339,Crystal Castles,,
340,Aphex Twin,,
341,Ice Cube,,
342,Skrillex,,
343,Miles Davis,,
344,The Decemberists,,
345,Staind,,
346,Taio Cruz,,
347,Iggy Pop,,
348,Fabolous,,
349,The Jackson 5,,
350,Wolfmother,,
351,Metric,,
352,Eels,,
353,Nat King Cole,,
354,Bonobo,,
355,George Michael,,
356,Yellowcard,,
357,Cyndi Lauper,,
358,Godsmack,,
359,Electric Light Orchestra,,
360,The Hives,,
361,Tears for Fears,,
362,Eurythmics,,
363,Kendrick Lamar,,
364,Cypress Hill,,
365,Hot Chip,,
366,The Ting Tings,,
367,PJ Harvey,,
